Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
309414,000000A8,false,Rx,0,8,B0,01,02,00,02,F1,0F,02,
311358,000000A9,false,Rx,0,8,B6,11,D9,EF,3D,D9,0F,0C,
311433,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
311896,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
313378,000000AA,false,Rx,0,8,6E,11,02,00,20,0C,84,00,
318554,00000130,false,Rx,1,5,45,41,61,8F,75,00,00,00,
319414,000000A8,false,Rx,0,8,B1,02,02,00,02,F1,0F,02,
321348,000000A9,false,Rx,0,8,B7,12,D9,EF,3D,D9,0F,0C,
321504,000001A0,false,Rx,1,8,00,80,00,00,80,00,18,BA,
321980,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
323372,000000AA,false,Rx,0,8,5F,02,02,00,20,0C,84,00,
329412,000000A8,false,Rx,0,8,92,F3,01,F0,01,F1,0F,02,
331347,000000A9,false,Rx,0,8,B8,13,D9,EF,3D,D9,0F,0C,
331422,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
331885,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
333378,000000AA,false,Rx,0,8,68,03,02,00,28,0C,84,00,
339417,000000A8,false,Rx,0,8,93,F4,01,F0,01,F1,0F,02,
341341,000000A9,false,Rx,0,8,B9,14,D9,EF,3D,D9,0F,0C,
341483,000001A0,false,Rx,1,8,00,80,00,00,80,00,28,CA,
341949,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
343361,000000AA,false,Rx,0,8,59,F4,01,00,28,0C,84,00,
349412,000000A8,false,Rx,0,8,B4,05,02,00,02,F1,0F,02,
351347,000000A9,false,Rx,0,8,BA,15,D9,EF,3D,D9,0F,0C,
351402,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
351564,000001D0,false,Rx,0,8,5F,FF,6D,D2,C7,53,CD,9B,
351869,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
353364,000000AA,false,Rx,0,8,4E,F5,01,00,1C,0C,84,00,
356275,000001B6,false,Rx,0,8,FF,FF,00,00,11,A8,1B,00,
359396,000000A8,false,Rx,0,8,C5,06,02,10,02,F1,0F,02,
361331,000000A9,false,Rx,0,8,BB,16,D9,EF,3D,D9,0F,0C,
361463,000001A0,false,Rx,1,8,00,80,00,00,80,00,38,DA,
361939,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
363350,000000AA,false,Rx,0,8,6F,16,02,00,1C,0C,84,00,
369391,000000A8,false,Rx,0,8,D6,17,02,10,02,F1,0F,02,
371335,000000A9,false,Rx,0,8,BC,17,D9,EF,3D,D9,0F,0C,
371390,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
371853,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
373286,000001B4,false,Rx,1,8,00,D0,E6,FC,0F,FF,82,FB,
373358,000000AA,false,Rx,0,8,6C,17,02,00,18,0C,84,00,
379392,000000A8,false,Rx,0,8,B7,08,02,00,02,F1,0F,02,
381326,000000A9,false,Rx,0,8,9B,18,D8,DF,3D,D8,FF,0B,
381457,000001A0,false,Rx,1,8,00,80,00,00,80,00,48,EA,
381945,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
382307,000004B0,false,Rx,1,8,00,42,FD,FF,FF,FF,FF,FF,
383345,000000AA,false,Rx,0,8,5D,08,02,00,18,0C,84,00,
389388,000000A8,false,Rx,0,8,98,F9,01,F0,01,F1,0F,02,
391321,000000A9,false,Rx,0,8,9C,19,D8,DF,3D,D8,FF,0B,
391387,000000B6,false,Rx,1,5,04,04,80,00,C8,00,00,00,
391850,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
393343,000000AA,false,Rx,0,8,6A,09,02,00,24,0C,84,00,
399382,000000A8,false,Rx,0,8,99,FA,01,F0,01,F1,0F,02,
401325,000000A9,false,Rx,0,8,9B,1A,D7,DF,3D,D7,FF,0B,
401431,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,80,F8,
401915,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
402186,000001A0,false,Rx,1,8,00,80,00,00,80,00,58,FA,
403334,000000AA,false,Rx,0,8,5B,FA,01,00,24,0C,84,00,
409376,000000A8,false,Rx,0,8,7A,EB,01,E0,01,F1,0F,02,
411319,000000A9,false,Rx,0,8,9C,1B,D7,DF,3D,D7,FF,0B,
411364,000000B6,false,Rx,1,5,05,05,80,00,C8,00,00,00,
411837,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
413339,000000AA,false,Rx,0,8,64,FB,01,00,2C,0C,84,00,
418597,00000130,false,Rx,1,5,45,41,61,8F,86,00,00,00,
419377,000000A8,false,Rx,0,8,7B,EC,01,E0,01,F1,0F,02,
421320,000000A9,false,Rx,0,8,9D,1C,D7,DF,3D,D7,FF,0B,
421445,000001A0,false,Rx,1,8,00,80,00,00,80,00,68,0B,
421931,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
423323,000000AA,false,Rx,0,8,55,EC,01,00,2C,0C,84,00,
429365,000000A8,false,Rx,0,8,7C,ED,01,E0,01,F1,0F,02,
429996,00000135,false,Rx,1,2,F5,FF,00,00,00,00,00,00,
431315,000000A9,false,Rx,0,8,9E,1D,D7,DF,3D,D7,FF,0B,
431360,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
431824,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
433326,000000AA,false,Rx,0,8,52,ED,01,00,28,0C,84,00,
436388,000001B6,false,Rx,0,8,FF,FF,00,00,12,A8,1B,00,
439368,000000A8,false,Rx,0,8,7D,EE,01,E0,01,F1,0F,02,
441311,000000A9,false,Rx,0,8,9F,1E,D7,DF,3D,D7,FF,0B,
441407,000001A0,false,Rx,1,8,00,80,00,00,80,00,78,1B,
441901,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
443323,000000AA,false,Rx,0,8,4F,EE,01,00,24,0C,84,00,
449372,000000A8,false,Rx,0,8,7F,E0,01,F0,01,F1,0F,02,
451295,000000A9,false,Rx,0,8,91,10,D7,DF,3D,D7,FF,0B,
451340,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
451522,000001D0,false,Rx,0,8,5F,FF,6D,D2,DB,53,CD,9B,
451816,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
453323,000000AA,false,Rx,0,8,41,E0,01,00,24,0C,84,00,
459356,000000A8,false,Rx,0,8,80,E1,01,F0,01,F1,0F,02,
460098,000002F1,false,Rx,1,3,EC,FB,FC,00,00,00,00,00,
461295,000000A9,false,Rx,0,8,92,11,D7,DF,3D,D7,FF,0B,
461401,000001A0,false,Rx,1,8,00,80,00,00,80,00,88,2B,
461886,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
462044,00000194,false,Rx,1,4,FE,FE,FF,FF,00,00,00,00,
463307,000000AA,false,Rx,0,8,56,F1,01,00,28,0C,84,00,
465022,00000480,false,Rx,1,8,02,42,FD,01,FF,FF,FF,FF,
469350,000000A8,false,Rx,0,8,71,E2,01,E0,01,F1,0F,02,
471293,000000A9,false,Rx,0,8,93,12,D7,DF,3D,D7,FF,0B,
471328,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
471801,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
473313,000000AA,false,Rx,0,8,57,F2,01,00,28,0C,84,00,
473378,000001B4,false,Rx,1,8,00,D0,E6,FD,0F,FF,82,FC,
479351,000000A8,false,Rx,0,8,52,D3,01,D0,01,F1,0F,02,
481383,000000A9,false,Rx,0,8,74,13,D7,CF,3D,D7,EF,0B,
481412,000001A0,false,Rx,1,8,00,80,00,00,80,00,98,3B,
481662,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
482723,000001FB,false,Rx,1,2,F9,FF,00,00,00,00,00,00,
483305,000000AA,false,Rx,0,8,3C,D3,01,00,2C,0C,84,00,
489335,000000A8,false,Rx,0,8,53,D4,01,D0,01,F1,0F,02,
491278,000000A9,false,Rx,0,8,75,14,D7,CF,3D,D7,EF,0B,
491333,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
491796,0000019E,false,Rx,1,8,00,E8,9F,FC,FF,BC,FF,E1,
493297,000000AA,false,Rx,0,8,3D,D4,01,00,2C,0C,84,00,
499337,000000A8,false,Rx,0,8,54,D5,01,D0,01,F1,0F,02,
501281,000000A9,false,Rx,0,8,76,15,D7,CF,3D,D7,EF,0B,
501367,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,10,FA,
